n,time
1,0.026499999999999996
5001,17.151600000000002
10001,33.460300000000004
15001,48.894400000000005
20001,66.32639999999999
25001,79.9716
30001,101.51939999999999
35001,143.2783
40001,159.84459999999999
45001,171.9279
50001,191.5169
55001,211.80949999999999
60001,227.17669999999998
65001,247.2775
70001,301.8896
75001,285.87430000000006
80001,304.36990000000003
85001,327.219
90001,341.14419999999996
95001,369.63789999999995
100001,413.4842
