n,time
1,0.016999999999999998
5001,2.2535
10001,4.2924999999999995
15001,6.5388
20001,8.938300000000002
25001,11.1433
30001,15.2185
35001,17.4035
40001,18.7491
45001,20.647100000000002
50001,25.406799999999997
55001,25.9988
60001,28.188100000000002
65001,33.2508
70001,34.579899999999995
75001,37.7099
80001,39.7253
85001,43.036500000000004
90001,47.488299999999995
95001,48.2742
100001,53.02270000000001
